mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,mel_1,mel_2,mel_3,mel_4,mel_5,mel_6,mel_7,mel_8,mel_9,mel_10,mel_11,mel_12,mel_13,mel_14,mel_15,mel_16,mel_17,mel_18,mel_19,mel_20,mel_21,mel_22,mel_23,mel_24,mel_25,mel_26,mel_27,mel_28,mel_29,mel_30,mel_31,mel_32,mel_33,mel_34,mel_35,mel_36,mel_37,mel_38,mel_39,mel_40,mel_41,mel_42,mel_43,mel_44,mel_45,mel_46,mel_47,mel_48,mel_49,mel_50,mel_51,mel_52,mel_53,mel_54,mel_55,mel_56,mel_57,mel_58,mel_59,mel_60,mel_61,mel_62,mel_63,mel_64,mel_65,mel_66,mel_67,mel_68,mel_69,mel_70,mel_71,mel_72,mel_73,mel_74,mel_75,mel_76,mel_77,mel_78,mel_79,mel_80,mel_81,mel_82,mel_83,mel_84,mel_85,mel_86,mel_87,mel_88,mel_89,mel_90,mel_91,mel_92,mel_93,mel_94,mel_95,mel_96,mel_97,mel_98,mel_99,mel_100,mel_101,mel_102,mel_103,mel_104,mel_105,mel_106,mel_107,mel_108,mel_109,mel_110,mel_111,mel_112,mel_113,mel_114,mel_115,mel_116,mel_117,mel_118,mel_119,mel_120,mel_121,mel_122,mel_123,mel_124,mel_125,mel_126,mel_127,mel_128,contrast_1,contrast_2,contrast_3,contrast_4,contrast_5,contrast_6,contrast_7,label
-546.6943359,114.0102539,-19.19634628,38.51970673,-0.08962258,8.609719276,-8.104845047,-4.25824213,-6.755158901,2.217673063,-8.751056671,-4.605144024,5.467197895,0.519206822,0.549488127,0.565059841,0.513733029,0.520352602,0.523578763,0.530622661,0.557609916,0.535352767,0.530151904,0.516511738,0.511103034,0.007208082,0.10993211,0.021545846,0.153527379,0.02721386,0.120205693,0.051072273,0.156424507,0.077246696,0.173824057,0.104656614,0.178809792,0.12775819,0.168845743,0.156129301,0.161032334,0.135140866,0.108881913,0.126592919,0.079136133,0.114214718,0.054524329,0.109176651,0.038677908,0.097260803,0.024324393,0.065959744,0.010606462,0.045155637,0.003766669,0.034482133,0.002090142,0.032064289,0.004372573,0.036261495,0.007241658,0.035572324,0.010152343,0.031912144,0.014620976,0.021385392,0.020815419,0.010882373,0.02538754,0.008869889,0.013177885,0.013781623,0.008127865,0.009330725,0.011749036,0.007304102,0.007492828,0.007740186,0.009696058,0.007248245,0.008074845,0.009082091,0.009807847,0.009734821,0.00915361,0.008171423,0.006995026,0.005430297,0.004317682,0.003678429,0.003358669,0.00342741,0.00363418,0.003526741,0.003575945,0.00325336,0.002737604,0.002620867,0.002364987,0.001246709,0.000876756,0.000562227,0.000495942,0.000529418,0.00094473,0.001541591,0.002124985,0.001918026,0.001313351,0.000964461,0.000809823,0.000654746,0.000485439,0.000415429,0.000507138,0.000687668,0.001058497,0.001588949,0.002412945,0.002996349,0.003796621,0.005568515,0.004032433,0.001575424,0.000889961,0.000993102,0.001649897,0.001563626,0.001301534,0.000705424,0.000389522,0.000312611,0.000380735,0.000327029,0.000304063,0.000250382,0.000143036,0.000110539,9.97E-05,4.75E-05,2.26E-06,8.03E-10,3.68E-12,7.22E-13,2.20E-13,9.17E-14,4.45E-14,2.42E-14,1.44E-14,9.35E-15,6.98E-15,5.40E-15,3.85E-15,4.938952702,4.851839408,8.780585231,10.01212956,14.42062351,22.78367791,44.41617232,male
-426.6398926,127.761673,-6.466575623,48.68492889,16.40915871,7.829077721,10.43821716,-6.058473587,-8.258143425,3.468756676,-0.387613952,1.710556984,2.314409256,0.544246376,0.516927838,0.561051011,0.607393265,0.651280403,0.694926083,0.715920806,0.756163001,0.745832682,0.721405208,0.668992698,0.604486525,0.020203417,0.308126897,0.056963135,0.405897319,0.068399511,0.302125871,0.08368969,0.256325364,0.127007604,0.285798341,0.203104049,0.34701103,0.388287008,0.513161719,0.52482754,0.541309059,0.555808485,0.447810411,0.303426355,0.189678773,0.334143668,0.159514993,0.442924231,0.156914338,0.328076988,0.082050264,0.264718056,0.042567212,0.134055361,0.011182261,0.087968633,0.005872622,0.092988417,0.009062703,0.075156458,0.015565295,0.07645952,0.017984156,0.056530099,0.028001076,0.040955815,0.040258855,0.021047464,0.070018701,0.024635611,0.036618963,0.038678203,0.021983169,0.024817729,0.03383885,0.026287075,0.02645348,0.025650308,0.02399799,0.019751024,0.020026369,0.019981219,0.018501803,0.015240767,0.013038667,0.010027704,0.008566048,0.007191401,0.005783541,0.005095442,0.004780538,0.00449472,0.003800635,0.003955787,0.005513814,0.00650621,0.008260342,0.009421354,0.011698863,0.008632636,0.006947483,0.004266349,0.003169643,0.002531043,0.003018717,0.003136715,0.004118622,0.005314718,0.006231852,0.006805953,0.007193746,0.006689291,0.004542416,0.003038807,0.002531033,0.00177944,0.00140959,0.00132808,0.001051672,0.001150967,0.001137782,0.001086332,0.000944412,0.000830804,0.000625492,0.000599429,0.000490753,0.000462298,0.000361341,0.000294531,0.000272503,0.000220441,0.000203055,0.000142493,0.000115742,8.61E-05,7.69E-05,7.15E-05,5.92E-05,5.29E-05,4.47E-05,3.72E-05,3.11E-05,2.51E-05,1.63E-05,1.29E-05,1.15E-05,8.11E-06,5.89E-06,4.36E-06,3.21E-06,1.63E-06,1.08E-07,6.652768074,7.44760315,11.39213367,11.33957837,14.80260839,23.74309638,41.92607748,male
-504.4816895,59.43040466,-0.067086719,46.95544052,-19.41848564,7.666149139,-10.50779057,-21.80899048,7.562106133,10.12879753,-2.625774384,2.987089872,4.54605341,0.417927146,0.356383532,0.367374063,0.492397636,0.507757246,0.57878089,0.574004829,0.512195766,0.517140388,0.558841586,0.477987885,0.417053759,0.000157608,0.002403719,0.000322682,0.002299304,0.000901638,0.003982606,0.00099031,0.003033128,0.001095964,0.002466187,0.003645781,0.006228956,0.012184969,0.016103705,0.015098901,0.01557306,0.010862175,0.008751569,0.018762268,0.011728723,0.012227096,0.005837025,0.01458758,0.005167929,0.050284516,0.012575882,0.076641388,0.012324092,0.084981434,0.007088748,0.043405503,0.001504659,0.017041657,0.000537269,0.004455539,0.000425415,0.002089715,0.000666008,0.002093483,0.000390254,0.000570806,0.000229422,0.000119943,0.000744668,0.000530781,0.000817026,0.001105936,0.000865727,0.00110186,0.00216522,0.002412247,0.002696606,0.00298974,0.002379533,0.001437751,0.001503625,0.001576309,0.001670615,0.001771796,0.001718885,0.001353627,0.000892974,0.000825658,0.000941182,0.001172403,0.001312917,0.001412844,0.001403156,0.001004881,0.000734622,0.000531834,0.000485505,0.000512086,0.000333356,0.00018108,0.000147675,0.000125197,0.000226922,0.000333645,0.000509578,0.000642737,0.000906846,0.001177242,0.001998676,0.005012013,0.006994552,0.007239251,0.005090536,0.00285452,0.001632567,0.001562426,0.002382445,0.003681614,0.003389965,0.001739067,0.001272959,0.001552186,0.007089291,0.015926255,0.00789634,0.003706645,0.002887901,0.003063119,0.005802645,0.006380227,0.003882181,0.001448878,0.001234579,0.001732266,0.002272657,0.001811714,0.000923632,0.000880063,0.001447543,0.000991988,0.00028892,0.00017444,0.000149668,7.64E-05,8.38E-05,0.000149407,0.000109107,0.000126665,0.000112791,0.000120686,8.97E-05,3.25E-05,3.50E-06,6.896346429,7.636022551,10.91685037,14.44434481,16.83075257,21.41583317,38.78950575,male
-414.894928,113.2268448,17.33745003,23.60250282,7.86003828,3.295168161,7.566697121,0.955502093,1.778989196,6.509205341,-5.773114204,2.39253521,-0.187735051,0.546695292,0.566047549,0.597016156,0.660598993,0.711493134,0.720576525,0.701344132,0.671464086,0.657036066,0.592184484,0.566965878,0.557229936,0.010653654,0.162481308,0.030470254,0.217119291,0.140812889,0.621981323,0.167114481,0.51183939,0.137664706,0.309779406,0.262622207,0.448700041,0.233609736,0.308739573,0.249290869,0.257119507,0.075853668,0.061114699,0.030967098,0.01935824,0.047683138,0.022763189,0.246360019,0.087277725,0.926953256,0.231825903,0.78251636,0.125830233,0.212942958,0.017762693,0.354938775,0.018527625,0.268207133,0.01965454,0.162993953,0.024167718,0.118716165,0.014048208,0.044158127,0.043566491,0.063722603,0.065244064,0.034109816,0.058319844,0.021812133,0.03255704,0.028287353,0.009730962,0.007653876,0.010284333,0.00820407,0.009287912,0.010767266,0.018738683,0.017360259,0.011060799,0.005755918,0.0029311,0.00358771,0.008185941,0.015981495,0.019692516,0.011304131,0.004248613,0.005960996,0.012181176,0.014143396,0.009112028,0.006225967,0.006464081,0.006480384,0.004174336,0.001662335,0.001447045,0.001165912,0.001291616,0.001782451,0.001680117,0.001322504,0.000968296,0.000940528,0.001401221,0.001882777,0.00297351,0.002899418,0.001667434,0.001294817,0.000964259,0.000780685,0.000547675,0.000579048,0.000607403,0.000888955,0.001206422,0.001011156,0.001244797,0.000879246,0.000356361,0.000204705,0.000179186,0.000179671,0.000265577,0.000507808,0.000231859,0.000454127,0.00035693,0.000199715,0.000188492,0.000157494,0.000169035,0.000144463,0.000159465,0.00015604,0.000184615,0.000202779,0.000204842,0.000154611,0.000127052,7.31E-05,7.61E-05,9.36E-05,6.98E-05,5.01E-05,4.10E-05,3.00E-05,3.25E-05,1.61E-05,1.18E-06,7.189878302,8.045300288,11.37044822,12.99280045,15.34905015,18.3853312,37.14452751,female
-487.3850708,88.3212204,20.74801636,20.11129951,6.83554554,-1.507135153,-0.880979359,-9.815372467,-4.047357559,-5.186063766,-5.070417404,1.85579586,0.004914904,0.665381074,0.664992988,0.659554303,0.584096611,0.537274241,0.540230334,0.556102395,0.556031942,0.5325616,0.531838596,0.560935378,0.615266919,0.003386514,0.05164849,0.004218487,0.030059317,0.015356032,0.06782876,0.081948273,0.250991762,0.115838364,0.260664791,0.052127797,0.089062326,0.028320892,0.037429001,0.048934881,0.050471611,0.110308021,0.088874295,0.203456789,0.127185494,0.358173192,0.170986295,0.276188999,0.097845204,0.061260018,0.015320796,0.01118732,0.001798944,0.033004925,0.002753114,0.060683351,0.003637338,0.055579524,0.005284728,0.043825943,0.009137707,0.044886056,0.013098609,0.041173223,0.020082489,0.029373683,0.01732794,0.009059106,0.01068049,0.005646206,0.008589809,0.013047013,0.007600686,0.008678004,0.008536252,0.005635048,0.006623165,0.008197146,0.012287688,0.005919683,0.005354452,0.005625208,0.006392248,0.006275288,0.003876073,0.002429562,0.00227637,0.001911532,0.001860962,0.001898804,0.001725213,0.001669451,0.001736231,0.001395467,0.001106186,0.000931211,0.000752919,0.000739057,0.000796108,0.000655756,0.000626459,0.00049946,0.000617873,0.000615765,0.000763456,0.00072301,0.000665002,0.000661752,0.000604594,0.000492064,0.000341166,0.000249906,0.000192522,0.000180101,0.000245514,0.000296102,0.000318616,0.000347749,0.000346961,0.000291656,0.000280967,0.000242264,0.000175902,0.000183394,0.00030382,0.000299557,0.000378448,0.000344469,0.000301435,0.000251831,0.000330362,0.000298271,0.000202542,0.00023527,0.000213559,0.000248478,0.000228164,0.000291656,0.000238147,0.000191211,0.000288085,0.000337269,0.000159643,0.000121261,0.000136888,0.000161484,0.000174624,0.000182776,0.000220678,0.000355426,0.000374008,0.000186262,1.47E-05,7.740617397,9.322442314,12.68790323,12.63036945,15.66100882,18.83025926,36.1305356,female
-459.0393982,77.15418243,-23.367239,34.28800964,10.05060577,-16.48737335,-13.89480305,-6.697610855,-10.94755268,3.379363298,-6.512917519,4.41310215,-2.303728819,0.561652362,0.553296745,0.545691729,0.523732126,0.505289257,0.521273315,0.561502635,0.546391428,0.493393064,0.501443446,0.543838143,0.56412214,0.000133182,0.002031193,0.000844248,0.006015786,0.001925148,0.008503527,0.004741919,0.014523583,0.008340039,0.018767139,0.009597813,0.016398229,0.022497136,0.029732307,0.046150722,0.04760002,0.057838082,0.046599686,0.101180814,0.063250445,0.10688962,0.05102744,0.10909608,0.038649365,0.111195713,0.027809439,0.106164962,0.017071543,0.085137747,0.007101786,0.04317252,0.001691435,0.020984367,0.001245412,0.010328132,0.001291567,0.006344408,0.002667861,0.008385962,0.004773731,0.006982305,0.006388288,0.003339819,0.008687323,0.002789314,0.0041182,0.003032131,0.001683155,0.001879086,0.004895255,0.004856522,0.006139962,0.007992617,0.019881986,0.018486934,0.017570905,0.016067261,0.013318583,0.009858805,0.009407874,0.008828499,0.008170109,0.008736433,0.006622842,0.005918734,0.007260547,0.009105659,0.009878375,0.01202592,0.015153887,0.016147364,0.014088649,0.011555736,0.011813748,0.00802708,0.007293453,0.005990215,0.00550241,0.005154813,0.005703369,0.003830435,0.002954492,0.002135815,0.001410228,0.001279213,0.001292228,0.001272533,0.001355911,0.001295249,0.001271803,0.001071886,0.000850007,0.000606311,0.000454544,0.000390276,0.000274277,0.000182498,0.000182771,0.000210192,0.00017515,0.000105852,7.77E-05,8.86E-05,9.53E-05,6.15E-05,3.33E-05,3.47E-05,4.17E-05,3.91E-05,2.79E-05,2.69E-05,3.41E-05,4.44E-05,4.76E-05,6.00E-05,9.73E-05,9.98E-05,6.98E-05,5.46E-05,5.59E-05,3.75E-05,1.89E-05,1.12E-05,9.21E-06,6.99E-06,5.21E-06,2.70E-06,2.34E-07,7.741834621,5.969164982,9.206360681,12.24559641,14.7580788,19.13014997,37.9997339,male
-435.0578003,104.4936066,-5.362985134,50.71823502,1.678878784,14.24698448,-1.614412189,-6.692777634,-2.922178984,-1.915255189,-3.794679165,-3.052291632,8.223196983,0.566654027,0.554676652,0.568126619,0.581896842,0.637252629,0.68016988,0.694326937,0.719154119,0.651867568,0.613115251,0.583301008,0.591224313,0.020627065,0.31458804,0.10502249,0.748349607,0.147300035,0.650635481,0.209816352,0.642627001,0.169328466,0.381030679,0.226274028,0.386597782,0.400761008,0.52964741,0.555296481,0.572734773,0.642294884,0.517491877,0.623149872,0.389545262,0.476450473,0.227450043,0.296681285,0.105104998,0.21645987,0.054135431,0.165496379,0.026612155,0.11931809,0.009952949,0.126350164,0.007064204,0.105181426,0.010197069,0.084563702,0.014326089,0.070372321,0.017812381,0.055990152,0.023589665,0.034503464,0.032399487,0.016938562,0.046037603,0.020190787,0.030428929,0.036347438,0.02183878,0.025274383,0.031623095,0.017126508,0.016381348,0.015334979,0.01941918,0.014032527,0.012763897,0.011003929,0.009499881,0.008881409,0.008093052,0.007274793,0.006925988,0.007064514,0.007612307,0.007704787,0.007386108,0.006810224,0.006341027,0.006283449,0.007499628,0.007801504,0.006675577,0.005517194,0.004823875,0.00379682,0.005510581,0.006004106,0.007570696,0.007255998,0.006690725,0.005903778,0.008652523,0.011719812,0.010414889,0.008873357,0.012094796,0.015165862,0.012686661,0.009698643,0.008746363,0.010424979,0.011343946,0.010950387,0.015974911,0.019408414,0.01435923,0.014933916,0.015287607,0.010918258,0.008570774,0.007768028,0.006818259,0.007724161,0.008484306,0.006924272,0.005944372,0.005343882,0.005207564,0.004427832,0.003326025,0.002102291,0.000541658,9.68E-05,9.09E-06,1.46E-06,6.15E-07,4.56E-07,4.35E-07,4.39E-07,3.21E-07,2.68E-07,2.69E-07,2.13E-07,1.74E-07,1.54E-07,1.24E-07,7.06E-08,6.59E-09,7.766685514,5.323248666,9.725381636,11.56410953,14.56964646,19.50092997,51.26105664,male
-574.8049927,81.76186371,2.459468842,15.38373375,-2.928604603,9.311389923,4.002686977,-16.17599487,-9.397381783,-9.277222633,-7.552647591,0.280560941,-5.683643818,0.551144242,0.556543827,0.547285199,0.520419538,0.514345288,0.53433907,0.532299459,0.522238135,0.49035278,0.502063274,0.521407843,0.535643041,8.32E-05,0.001269465,3.96E-05,0.000281966,0.000441787,0.001951405,0.003127543,0.00957906,0.007884926,0.017743021,0.009680778,0.016539978,0.008295124,0.01096287,0.010123747,0.010441669,0.011118341,0.00895796,0.011887212,0.007430968,0.009704647,0.004632846,0.00988785,0.003502959,0.011573725,0.002894525,0.010534654,0.001693994,0.006912039,0.00057657,0.005972548,0.00033944,0.005086106,0.001093433,0.00906778,0.001469155,0.007216752,0.002373711,0.007461354,0.007840673,0.011468174,0.01285517,0.006720726,0.030425459,0.013181562,0.019851955,0.020716948,0.008953145,0.008626298,0.010124883,0.005462645,0.005452707,0.005510427,0.005643106,0.002576425,0.002320498,0.002212036,0.002187076,0.00206127,0.001693591,0.001369208,0.001289835,0.001107898,0.000875618,0.000657007,0.000524336,0.000475382,0.000561793,0.000476188,0.000248609,0.000133783,9.61E-05,7.90E-05,0.000155477,0.000224137,0.000270459,0.000221853,0.000221377,0.000178614,0.000260694,0.000330632,0.000399485,0.000439261,0.000362437,0.000219778,8.61E-05,6.96E-05,9.40E-05,0.000103455,0.000141115,0.000212537,0.0002552,0.000227167,0.000209811,0.000187978,0.000141041,0.000114298,0.000101266,9.00E-05,6.70E-05,4.99E-05,4.86E-05,3.58E-05,3.28E-05,3.22E-05,2.91E-05,2.07E-05,1.34E-05,1.17E-05,7.94E-06,3.33E-06,6.48E-06,2.00E-05,3.83E-05,4.25E-05,4.63E-05,4.87E-05,3.30E-05,3.52E-05,3.20E-05,3.13E-05,2.46E-05,1.06E-05,5.18E-06,5.08E-06,8.01E-06,5.87E-06,6.23E-07,7.844072184,9.59504418,13.20381509,13.13005456,17.4253486,21.71007027,38.66938015,female
-523.6177979,124.1268768,-21.34784508,47.16459656,6.175140381,-3.481786251,8.71251297,-16.33808517,-1.191941619,-4.153998375,-9.565686226,1.586147428,-0.849647105,0.517399013,0.481678009,0.484268725,0.453552008,0.441502959,0.445674151,0.466671556,0.488559902,0.48673895,0.541074991,0.610634446,0.622054875,0.002309613,0.035224441,0.017634628,0.125657558,0.031119864,0.137458831,0.068477795,0.209734231,0.147258908,0.331368774,0.153964579,0.263054341,0.140667289,0.18590647,0.204368189,0.210786074,0.181818873,0.146490052,0.160322756,0.100221433,0.148865506,0.071066082,0.137612164,0.048751727,0.09952075,0.024889598,0.05811169,0.009344478,0.043342356,0.003615413,0.030449975,0.001438779,0.019889362,0.001725723,0.014311322,0.002164202,0.010630949,0.003062891,0.009627672,0.00517061,0.007562801,0.007281729,0.003806912,0.010055544,0.003958716,0.005928257,0.007051168,0.004013023,0.004533316,0.006184571,0.003928191,0.004180515,0.004557306,0.005793532,0.005218223,0.005189172,0.005135589,0.005277376,0.005508261,0.004921628,0.004396044,0.004209291,0.003982501,0.004402655,0.004823599,0.004519083,0.003898421,0.003238112,0.003240858,0.003968133,0.00465869,0.004243392,0.003622971,0.003231532,0.001769812,0.001295913,0.000845785,0.000726663,0.000648526,0.000760002,0.000895399,0.001310179,0.00172382,0.002438579,0.004372428,0.00892026,0.016415372,0.020528108,0.025605792,0.036188353,0.040391181,0.022859864,0.008701682,0.003448392,0.001488885,0.000810858,0.000608985,0.000451119,0.000357093,0.000289249,0.000199968,0.000130118,8.04E-05,3.33E-05,1.15E-05,2.89E-06,3.56E-07,7.55E-09,4.90E-11,4.31E-11,3.80E-11,3.53E-11,3.26E-11,3.02E-11,2.81E-11,2.64E-11,2.47E-11,2.32E-11,2.24E-11,2.09E-11,2.01E-11,1.94E-11,1.86E-11,1.81E-11,1.76E-11,1.72E-11,1.70E-11,1.68E-11,7.857888592,5.55145891,9.90104535,10.43154006,13.77748769,42.05206244,13.77422314,male
-482.5956421,94.35438538,0.691490412,30.91604805,12.10552597,-1.96919322,-6.488778591,0.423845798,2.162223101,1.776592731,2.639800072,2.233851671,-1.932577729,0.508606374,0.472384095,0.496180415,0.538908541,0.612486243,0.660939276,0.666087449,0.641334593,0.605609357,0.590681672,0.569754839,0.549943626,0.001730864,0.026397794,0.001163177,0.00828835,0.005579174,0.024643637,0.02660674,0.081491314,0.035709433,0.080355003,0.033158526,0.056652606,0.037593938,0.049684305,0.059024923,0.060878519,0.110600404,0.089109868,0.121682823,0.076066725,0.13648887,0.065157659,0.122394681,0.043360647,0.118648872,0.029673429,0.153277725,0.024647374,0.141646534,0.011815481,0.089869566,0.003881416,0.051144797,0.00345796,0.028676655,0.002999428,0.014733727,0.003205161,0.010074873,0.003712225,0.005429691,0.002515099,0.001314902,0.003252029,0.001636417,0.002483799,0.005678606,0.003348358,0.003843554,0.005694526,0.003612507,0.003765886,0.003979139,0.004594815,0.004894113,0.005190623,0.004990673,0.004895207,0.005488541,0.005665868,0.005050747,0.004568225,0.005771085,0.006234795,0.004025692,0.002886988,0.002927886,0.002833691,0.002187282,0.00197055,0.001727442,0.001237041,0.000955585,0.001596885,0.002279208,0.003128254,0.002757503,0.002327689,0.00236937,0.002469422,0.001582395,0.000886249,0.000465346,0.00035023,0.000253827,0.000279696,0.00031094,0.000371163,0.000378068,0.000342999,0.000384712,0.00039971,0.000369179,0.000344513,0.000458787,0.000427024,0.000312787,0.000396184,0.000492649,0.000589821,0.001009831,0.000744966,0.000995973,0.001013791,0.000699678,0.000659488,0.000533725,0.000540357,0.000566631,0.000489582,0.000369127,0.0002763,0.000212699,0.000166418,0.000142105,0.000155633,0.000139521,0.000172113,0.000222864,0.000211164,0.000197245,0.000175941,0.000156262,0.00013246,0.000104519,9.61E-05,5.11E-05,4.42E-06,7.967769824,8.43826664,11.49645593,13.30413267,15.18282719,17.47587918,37.1894416,female
