mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,mel_1,mel_2,mel_3,mel_4,mel_5,mel_6,mel_7,mel_8,mel_9,mel_10,mel_11,mel_12,mel_13,mel_14,mel_15,mel_16,mel_17,mel_18,mel_19,mel_20,mel_21,mel_22,mel_23,mel_24,mel_25,mel_26,mel_27,mel_28,mel_29,mel_30,mel_31,mel_32,mel_33,mel_34,mel_35,mel_36,mel_37,mel_38,mel_39,mel_40,mel_41,mel_42,mel_43,mel_44,mel_45,mel_46,mel_47,mel_48,mel_49,mel_50,mel_51,mel_52,mel_53,mel_54,mel_55,mel_56,mel_57,mel_58,mel_59,mel_60,mel_61,mel_62,mel_63,mel_64,mel_65,mel_66,mel_67,mel_68,mel_69,mel_70,mel_71,mel_72,mel_73,mel_74,mel_75,mel_76,mel_77,mel_78,mel_79,mel_80,mel_81,mel_82,mel_83,mel_84,mel_85,mel_86,mel_87,mel_88,mel_89,mel_90,mel_91,mel_92,mel_93,mel_94,mel_95,mel_96,mel_97,mel_98,mel_99,mel_100,mel_101,mel_102,mel_103,mel_104,mel_105,mel_106,mel_107,mel_108,mel_109,mel_110,mel_111,mel_112,mel_113,mel_114,mel_115,mel_116,mel_117,mel_118,mel_119,mel_120,mel_121,mel_122,mel_123,mel_124,mel_125,mel_126,mel_127,mel_128,contrast_1,contrast_2,contrast_3,contrast_4,contrast_5,contrast_6,contrast_7,label
-610.10401,53.23777752,8.970188044,16.4122676,3.000402282,-1.438342139,-13.55414926,-6.40090982,-12.22540707,-4.852028874,-4.873474372,-3.228989639,-1.195799998,0.486486576,0.430631156,0.422909389,0.449964675,0.50519985,0.552461469,0.576748985,0.597919605,0.571663338,0.581701731,0.577715373,0.560170631,0.000225909,0.003445383,0.001443776,0.010287788,0.001488745,0.0065759,0.005028479,0.015401261,0.011096211,0.024969201,0.006736859,0.01151018,0.004457271,0.005890748,0.009944842,0.010257146,0.026457591,0.021316671,0.028375133,0.017737944,0.019083819,0.009110319,0.009701023,0.003436772,0.010439637,0.002610896,0.009563609,0.001537848,0.003973971,0.00033149,0.002216858,0.000174789,0.002898136,0.000301345,0.002499033,0.000252675,0.001241187,0.000321982,0.001012095,0.000407232,0.000595638,0.000809375,0.000423144,0.001328169,0.000530838,0.000795683,0.000873293,0.000761423,0.000998766,0.00130915,0.000510396,0.000452457,0.000396058,0.000564511,0.000739948,0.000558143,0.000412484,0.000399039,0.000525132,0.000537031,0.000338779,0.000228031,0.000233225,0.000236824,0.000223549,0.000162197,0.000120923,0.000135246,0.000181868,0.00014459,8.84E-05,9.83E-05,0.000106561,0.000127602,0.000136983,0.000189427,0.000221689,0.000347251,0.000330226,0.000255199,0.000158044,0.000138024,0.000150288,0.000150214,0.000123734,0.000118617,0.000128942,8.70E-05,7.50E-05,5.80E-05,5.17E-05,4.77E-05,4.14E-05,3.90E-05,4.51E-05,5.52E-05,5.36E-05,5.49E-05,6.46E-05,6.93E-05,9.13E-05,8.77E-05,0.000108119,0.00012917,0.000100774,7.80E-05,7.24E-05,6.69E-05,5.00E-05,3.48E-05,2.04E-05,1.06E-05,1.19E-05,2.23E-05,2.77E-05,2.96E-05,2.14E-05,1.26E-05,6.48E-06,2.48E-06,8.38E-07,2.61E-07,7.02E-08,1.15E-08,1.53E-09,1.12E-10,3.49E-12,1.00E-13,10.02043613,8.987144279,12.39390904,12.79806844,15.73486406,18.06854292,49.12461626,female
-431.0592794,126.627902,-12.54943045,47.24747931,10.86507401,5.815406434,5.693701751,-8.770378908,-12.1210932,0.100339865,-3.441067119,-2.13555068,-0.115024483,0.551901686,0.562091342,0.618811963,0.647086027,0.660294893,0.668475806,0.656382229,0.676857775,0.65656255,0.639748737,0.608638372,0.57589342,0.002641614,0.040287858,0.038675526,0.275586877,0.067504518,0.298172602,0.083462081,0.255628247,0.127106518,0.286020903,0.203140716,0.34707365,0.388778232,0.513810891,0.524675716,0.541152428,0.555483441,0.447548593,0.30335263,0.189632668,0.334652348,0.159757828,0.442839383,0.156884284,0.327645789,0.081942416,0.264750164,0.042572368,0.134089007,0.011185068,0.087962493,0.005872603,0.092990022,0.009059873,0.075132994,0.015559354,0.076430336,0.017985695,0.05653494,0.027989438,0.040938795,0.040258309,0.021047181,0.070020179,0.024648895,0.036640041,0.038671822,0.021985753,0.024823907,0.033845189,0.026289599,0.026452848,0.025644507,0.02400168,0.019756459,0.020032832,0.01998315,0.018501493,0.015245666,0.013038296,0.01002636,0.008562846,0.00719187,0.0057852,0.005095938,0.004781045,0.004494283,0.003800028,0.003955534,0.005513396,0.006507715,0.00826185,0.009422068,0.01169961,0.008631945,0.006947591,0.004266301,0.003170162,0.002531228,0.003018261,0.003136344,0.004118185,0.005315204,0.006231352,0.006804532,0.00719257,0.006687261,0.004541044,0.003038211,0.002530514,0.001779265,0.001409575,0.001328283,0.001052123,0.001151558,0.001137936,0.001085866,0.000944237,0.000830972,0.000625396,0.000599237,0.000490406,0.000461962,0.000361138,0.000294348,0.000271974,0.00021985,0.000202212,0.000141614,0.000114577,8.45E-05,7.44E-05,6.73E-05,5.30E-05,4.27E-05,3.03E-05,1.83E-05,9.30E-06,3.88E-06,1.04E-06,2.76E-07,7.41E-08,1.29E-08,1.75E-09,1.81E-10,1.28E-11,2.01E-12,1.67E-12,11.1150972,7.424942459,11.39603212,11.34474902,14.80247882,23.755281,50.58296631,male
-494.7076725,95.2270022,-15.86847514,30.81353364,-2.870069597,-3.785391969,-19.18187463,-3.450906073,-7.982534092,-4.084423334,-5.103668538,-5.188259752,-7.721221969,0.516805315,0.505278618,0.498007774,0.497266696,0.54943936,0.589408562,0.584090462,0.537204876,0.493909774,0.50092241,0.516478241,0.539467703,1.37E-05,0.000209697,0.0002896,0.00206358,0.005570867,0.024606944,0.026610466,0.081502723,0.035702296,0.08033894,0.033140398,0.056621632,0.037593395,0.049683584,0.059018733,0.060872134,0.110601769,0.089110966,0.121684381,0.07606769,0.136489413,0.065157924,0.122413089,0.043367168,0.118656216,0.029675269,0.153266293,0.024645533,0.141633901,0.011814428,0.089869891,0.003881618,0.051148865,0.003456815,0.028667163,0.002999855,0.014735827,0.003204174,0.010071769,0.003713094,0.005430963,0.002515491,0.001315107,0.003252294,0.001636065,0.002483228,0.005678474,0.003348602,0.003843996,0.005694373,0.003613222,0.003766437,0.003979278,0.004594386,0.004894094,0.005190881,0.004992034,0.004896432,0.005487297,0.005664923,0.005050231,0.004567701,0.005771749,0.006234882,0.004024701,0.002887308,0.002928497,0.00283341,0.002187468,0.001971005,0.00172738,0.001236875,0.000955683,0.001596524,0.002279496,0.003127904,0.002756612,0.002327726,0.002369579,0.002469782,0.001582449,0.000886051,0.000465413,0.000350214,0.000253802,0.000279653,0.000310972,0.00037127,0.000378145,0.00034308,0.000384692,0.000399417,0.000368897,0.000344369,0.000458873,0.000427081,0.000312672,0.000395892,0.000492596,0.000589759,0.001009249,0.000744646,0.000995541,0.001013067,0.000698801,0.000658757,0.000532752,0.000538255,0.000563723,0.000484119,0.000362062,0.000266983,0.000201065,0.000148704,0.00011481,0.000103619,6.81E-05,4.88E-05,3.20E-05,1.28E-05,4.15E-06,1.11E-06,2.32E-07,3.98E-08,4.04E-09,3.01E-10,1.11E-11,1.17E-12,11.3537389,8.453561289,11.5028043,13.30791019,15.18434996,17.48251481,55.91692071,female
-516.5436621,66.69112802,-16.48584065,53.04476967,-34.05635636,11.66552782,-22.56724306,-20.40130571,-1.583400606,8.913309377,-8.974145226,-0.481304083,0.531712115,0.407097145,0.3350642,0.40990057,0.504850797,0.5114459,0.576676237,0.524164549,0.471843856,0.501397213,0.520937197,0.423913784,0.406044831,5.96E-06,9.08E-05,0.000207121,0.001475866,0.000896114,0.003958204,0.000990044,0.003032314,0.001096174,0.002466662,0.003646108,0.006229515,0.012185887,0.016104918,0.015099903,0.015574094,0.010862438,0.00875178,0.018760908,0.011727873,0.012228506,0.005837698,0.014587898,0.005168041,0.050291341,0.012577589,0.076634758,0.012323026,0.084978685,0.007088518,0.043420443,0.001505113,0.017046191,0.00053723,0.004455221,0.000425906,0.002092129,0.000665842,0.002092959,0.000390341,0.000570933,0.000229382,0.000119922,0.0007448,0.000530732,0.000816945,0.001106245,0.000865669,0.001101671,0.002165493,0.002412004,0.002696212,0.002989154,0.002380039,0.00143768,0.001503835,0.001576456,0.001670489,0.001771576,0.001718757,0.001353065,0.000892937,0.00082572,0.000941117,0.001172221,0.001312791,0.001412879,0.001403074,0.001004661,0.000734676,0.00053188,0.000485474,0.000512051,0.000333299,0.000181068,0.000147652,0.000125179,0.000226916,0.000333573,0.000509274,0.000642453,0.000906803,0.001177083,0.001998386,0.005011311,0.006995512,0.007238776,0.005091053,0.002854567,0.001632597,0.001562204,0.002382101,0.003681732,0.003390431,0.0017397,0.001273175,0.001552203,0.007087282,0.015924243,0.007901074,0.003707817,0.002888041,0.003063207,0.005801523,0.006381112,0.003880657,0.001445737,0.001229539,0.001721658,0.00224884,0.001777514,0.000896391,0.000824352,0.001289938,0.000816447,0.000205112,8.35E-05,4.66E-05,1.22E-05,4.36E-06,3.11E-06,6.56E-07,1.82E-07,3.03E-08,4.53E-09,3.28E-10,7.99E-12,6.18E-14,11.43210652,7.606725447,10.90376051,14.44247231,16.83168689,21.42411336,56.6671212,male
-534.9011405,75.51824168,-19.44556225,21.36578518,-10.55943067,-10.32789973,-13.97329312,-3.293349016,-10.87010376,-5.543082798,-7.561539685,-4.120886242,-3.086632388,0.471211293,0.443783426,0.432828379,0.409524478,0.406647477,0.422326222,0.417428715,0.436870991,0.484848645,0.551927153,0.550659152,0.529167629,2.93E-05,0.00044706,0.000153422,0.001093229,0.000239867,0.001059509,0.003076288,0.009422075,0.011665535,0.026250321,0.015458308,0.026411109,0.016085162,0.021258216,0.017447551,0.017995467,0.0797933,0.064288828,0.142175095,0.088876904,0.081633097,0.038970371,0.063120393,0.022361601,0.048525476,0.012135956,0.058651654,0.009431306,0.090061273,0.007512484,0.099450253,0.00646604,0.10154193,0.013238149,0.109783199,0.021661346,0.106404417,0.02029133,0.063782306,0.017529724,0.025639878,0.019201531,0.010038626,0.023647588,0.008949506,0.013368457,0.013763826,0.007719717,0.008660989,0.012377884,0.005165187,0.004677211,0.004189363,0.005226868,0.003133346,0.002869748,0.002912697,0.003148764,0.003092939,0.002383309,0.002435299,0.002251334,0.002199986,0.001656705,0.001054973,0.001008406,0.001284167,0.001202882,0.000898989,0.000787878,0.000639234,0.000597565,0.000809124,0.001287964,0.001119074,0.001643429,0.002285195,0.003069872,0.002529181,0.002068283,0.001193694,0.000755999,0.000541884,0.000476129,0.000460444,0.000476301,0.000363532,0.000291779,0.000283856,0.000339527,0.000387532,0.00032912,0.000299279,0.0002991,0.000255061,0.000205145,0.000227262,0.000214745,0.000161994,0.000151772,0.000147422,0.000200231,0.00021067,0.000172512,0.000121414,0.00010192,9.99E-05,9.45E-05,9.54E-05,8.90E-05,7.64E-05,6.50E-05,5.48E-05,4.57E-05,3.57E-05,3.22E-05,2.36E-05,1.39E-05,5.98E-06,1.16E-06,2.53E-07,8.97E-08,1.49E-08,2.48E-09,3.18E-10,2.16E-11,4.39E-13,1.08E-14,11.45316365,11.72011536,14.94063742,19.14767441,21.12978842,27.13335454,57.39258221,female
-474.6540536,72.26616558,-29.87581643,41.42490971,-6.418606547,18.07519116,-21.68821733,5.50135939,-20.64812303,10.49576238,-17.44375327,6.765955998,-7.945215665,0.48554959,0.519857333,0.587522644,0.578447594,0.558970538,0.562877879,0.601525744,0.652949148,0.633135803,0.598429981,0.562965303,0.516935144,0.000309879,0.004726042,0.003095622,0.022058211,0.010565114,0.046666914,0.016769533,0.051361843,0.008847258,0.019908504,0.01124676,0.019215518,0.026409556,0.034902977,0.031769872,0.03276756,0.025494938,0.020541069,0.02028225,0.012678898,0.020671836,0.009868413,0.022959712,0.008133915,0.022149285,0.005539415,0.018483419,0.002972172,0.018680587,0.001558246,0.017310925,0.000873671,0.012460794,0.001083529,0.008985641,0.001519704,0.007465057,0.002143403,0.00673742,0.003800806,0.005559255,0.006855194,0.003583918,0.011318256,0.00469291,0.00704985,0.008630756,0.004350094,0.004619485,0.005498192,0.003680205,0.004482597,0.005770502,0.010094999,0.009331273,0.009846394,0.009968192,0.009326685,0.007621888,0.005363345,0.004017329,0.003887661,0.004622522,0.005300996,0.005168467,0.004766654,0.004028024,0.003175632,0.002939399,0.003736207,0.005136159,0.0053901,0.003349966,0.001795753,0.001089813,0.001220775,0.001104016,0.00138754,0.001467695,0.00176238,0.001864561,0.002619171,0.003408102,0.003284057,0.002759421,0.002353994,0.002313333,0.002157662,0.001539719,0.001234169,0.001045395,0.001402081,0.001624511,0.001799806,0.002120716,0.002248717,0.002796719,0.002775666,0.00263491,0.003114928,0.00253011,0.001368338,0.001212529,0.000971143,0.00084485,0.000798886,0.000738004,0.000804544,0.00083354,0.001023374,0.001291107,0.001349512,0.001550752,0.001630372,0.001591474,0.001342266,0.000996229,0.000545455,0.000226796,9.65E-05,3.50E-05,1.00E-05,2.17E-06,3.72E-07,4.13E-08,2.62E-09,7.76E-11,2.76E-13,12.02849462,5.776513855,9.100179335,10.69723502,14.11302591,18.02862162,57.23053503,male
-506.4814486,96.06472038,-0.805017896,37.78359039,9.455420681,7.608329836,-8.964518138,4.142719729,-13.86988629,-1.535436875,-5.897589083,1.892199723,-4.420008697,0.544819464,0.555813371,0.59189938,0.595321852,0.594050337,0.579096393,0.563883161,0.589880152,0.58134494,0.584094585,0.558559264,0.552319069,0.007572544,0.115490597,0.083675276,0.596237742,0.139122244,0.61451356,0.123414791,0.377995691,0.148321537,0.333759908,0.188860409,0.322675201,0.224560779,0.296780439,0.29111501,0.300257073,0.306790644,0.247178784,0.223613177,0.139785712,0.220472083,0.105249945,0.231592012,0.08204588,0.167888754,0.041988057,0.063571137,0.010222369,0.023415238,0.001953188,0.015584743,0.001049497,0.016662228,0.002189721,0.018159232,0.003171293,0.015577959,0.004475573,0.014068195,0.007559917,0.011057524,0.012386532,0.006475721,0.018598542,0.005922635,0.008738698,0.007886208,0.004220834,0.004627859,0.007598802,0.00540965,0.005391896,0.005199765,0.00667165,0.005194982,0.00513754,0.005176841,0.005442344,0.005611734,0.004692036,0.004276097,0.004691905,0.004859137,0.004164907,0.003558525,0.003060199,0.003418258,0.004160771,0.004561639,0.004580872,0.003731219,0.003404213,0.00308236,0.002600399,0.001608861,0.001664823,0.001953462,0.002371382,0.001835153,0.001637224,0.001376988,0.001200891,0.001193389,0.001288192,0.001301849,0.001450832,0.001959712,0.002041427,0.002084211,0.002732501,0.003494682,0.003298103,0.002388379,0.001739996,0.001300367,0.000872111,0.00083183,0.000781669,0.00078503,0.000660857,0.000569198,0.000508062,0.000515486,0.000452701,0.00043385,0.000424836,0.000437785,0.000403545,0.000363834,0.000374183,0.000358282,0.000349896,0.00037684,0.000393263,0.000373167,0.000313175,0.000221648,0.000126871,6.62E-05,2.26E-05,5.83E-06,1.43E-06,2.39E-07,3.40E-08,4.31E-09,3.68E-10,2.79E-11,1.73E-11,12.29103042,6.722525224,13.14116831,14.13664691,16.22880895,23.74341679,47.56646305,male
-545.5360564,132.525241,-5.919466568,41.85340104,24.53518903,4.912830494,-6.495586767,2.679094037,-17.59154774,14.7470438,-1.047532186,0.560000794,-0.597716927,0.558751252,0.528412829,0.553973449,0.578101089,0.604056165,0.619927972,0.663432506,0.690917836,0.647385898,0.64349144,0.657963745,0.619730168,0.001245394,0.018993794,0.01749598,0.124669608,0.025943764,0.114595585,0.037450824,0.114704647,0.04352724,0.097946987,0.020547712,0.035106548,0.017651186,0.02332788,0.033796427,0.034857757,0.042209874,0.03400816,0.053039909,0.03315646,0.036957246,0.017642815,0.042203983,0.014951565,0.052039318,0.013014748,0.039417944,0.006338486,0.026438444,0.00220537,0.014762785,0.000481241,0.00516435,0.000365698,0.003032715,0.000965851,0.004744432,0.001027748,0.003230548,0.002407388,0.00352117,0.005064391,0.002647681,0.009292798,0.004313239,0.006520261,0.007002413,0.003138182,0.003100935,0.002406695,0.002668619,0.003191721,0.003872131,0.006567885,0.006073085,0.005188855,0.004269041,0.003374808,0.002450066,0.001591024,0.001490415,0.002168394,0.002357479,0.001846964,0.001040282,0.000527595,0.000403864,0.00040655,0.000344536,0.000284549,0.000182881,0.000224634,0.00025424,0.000609587,0.001172741,0.001382493,0.000880411,0.000461768,0.000275155,0.000313717,0.000375869,0.000383555,0.00023607,0.000266095,0.000401485,0.000282272,0.000144388,0.000113822,0.000150613,0.000108154,3.70E-05,4.14E-05,7.28E-05,4.29E-05,5.59E-05,6.40E-05,2.64E-05,2.35E-05,2.89E-05,1.97E-05,1.30E-05,1.80E-05,1.46E-05,3.34E-05,2.67E-05,1.94E-05,2.40E-05,1.24E-05,1.52E-05,1.88E-05,2.81E-05,2.43E-05,6.13E-05,4.30E-05,2.42E-05,1.62E-05,2.63E-05,1.23E-05,6.63E-06,4.00E-06,1.08E-06,3.52E-07,8.18E-08,1.44E-08,3.19E-09,1.74E-10,1.38E-11,7.58E-12,12.347483,8.853775616,13.14830156,16.67460788,19.27675185,31.74350339,53.45011776,male
-547.6737079,112.9529968,-20.5222166,37.39409035,-1.312825997,7.39238547,-9.213132308,-5.540041159,-7.782867072,0.936860185,-9.751588733,-5.810023682,4.449960317,0.586742862,0.607276322,0.641491558,0.606377626,0.627704046,0.644258988,0.658197082,0.686074858,0.655273603,0.637930579,0.609649845,0.591641035,0.002124286,0.032397967,0.015455788,0.110131982,0.026570659,0.117364625,0.05107908,0.156445364,0.077610201,0.174642024,0.104652315,0.178802465,0.127896432,0.169028444,0.156125907,0.161028825,0.135461596,0.109140331,0.126688034,0.079195588,0.114305468,0.054567653,0.109179615,0.038678957,0.097225605,0.024315591,0.066072926,0.010624662,0.045189169,0.003769466,0.034513084,0.002092595,0.032105021,0.004377689,0.036303918,0.007248679,0.035606811,0.01015554,0.031922194,0.014631271,0.021400452,0.020803927,0.010876364,0.025419089,0.008868986,0.013175289,0.013793621,0.00812655,0.009324971,0.011755316,0.007300313,0.007490961,0.007742831,0.009691012,0.00724835,0.008071702,0.009078104,0.00980569,0.009734463,0.009151184,0.008170598,0.006992631,0.005428266,0.004316234,0.003675504,0.003356602,0.00342457,0.003633204,0.003527259,0.003577725,0.003253464,0.002737316,0.002620574,0.002364494,0.001246732,0.00087673,0.000562208,0.000495951,0.000529679,0.000944729,0.001541408,0.002125708,0.001917599,0.001313236,0.000964604,0.000809774,0.000654913,0.000485486,0.000415421,0.000507247,0.000687548,0.001058389,0.00158876,0.002413215,0.002994652,0.00379596,0.005570066,0.004032173,0.001576016,0.000889897,0.000993095,0.001648636,0.001562955,0.001301002,0.00070488,0.000388744,0.000311826,0.00037916,0.000325003,0.000301032,0.000245763,0.000138674,0.000104039,8.91E-05,3.98E-05,1.76E-06,5.45E-10,3.08E-12,6.22E-13,1.94E-13,8.20E-14,4.03E-14,2.20E-14,1.31E-14,8.29E-15,5.59E-15,4.08E-15,3.25E-15,12.42760172,5.248663555,8.866504759,10.09549833,14.50134428,22.87919523,44.18275951,male
-655.5425666,60.44338298,-11.66011909,22.69726701,-14.30167633,3.026233762,-12.10726385,-1.935559149,-11.16869043,-3.299820913,-10.87244958,-8.946285502,-4.694687887,0.511013471,0.487774298,0.477984379,0.471901963,0.499542379,0.553744586,0.580068457,0.583563792,0.571663088,0.55191179,0.541600712,0.540250648,7.59E-07,1.16E-05,1.10E-05,7.82E-05,0.00088992,0.003930844,0.010152959,0.031096553,0.017349218,0.039040005,0.010337948,0.017662777,0.007211763,0.009531095,0.006573599,0.006780033,0.010213375,0.008228835,0.012572749,0.007859513,0.010329703,0.00493124,0.008265055,0.002928053,0.00763978,0.001910667,0.011555188,0.001858098,0.015032443,0.001253935,0.014819868,0.001002251,0.015932709,0.001816567,0.01506468,0.002410215,0.011839407,0.002175009,0.006836767,0.002214755,0.003239415,0.003273035,0.001711154,0.004498197,0.001268222,0.001852287,0.00167269,0.00103313,0.001209623,0.001794139,0.001132353,0.001116409,0.001075143,0.001064996,0.000747057,0.000756771,0.000792212,0.000834249,0.000816144,0.000683411,0.000665695,0.000740771,0.000849322,0.000883883,0.000699731,0.00055639,0.000490795,0.000418868,0.000350142,0.000351059,0.000353928,0.000290566,0.000225205,0.000219825,0.000188334,0.000216824,0.000198077,0.000225644,0.000227299,0.0002734,0.00025783,0.00028513,0.000304295,0.000236544,0.000205366,0.000195357,0.000163676,0.000142512,0.000120592,0.000114966,0.000108428,0.000100769,9.46E-05,0.000106621,0.000118734,0.000134243,0.000158153,0.000167203,0.000149849,0.000180435,0.000191956,0.000265392,0.000345749,0.000404182,0.000437118,0.00046735,0.000390198,0.000297806,0.000280608,0.000275335,0.000268885,0.000217469,0.000144731,8.61E-05,4.33E-05,2.12E-05,5.85E-06,1.84E-06,8.23E-07,1.04E-07,4.58E-09,2.51E-10,5.89E-13,1.15E-13,2.64E-14,5.65E-15,2.66E-15,1.91E-15,12.54445094,10.69092678,11.80321905,13.84056889,16.35381176,20.44817267,56.55519837,female
